order_id,predicoes
cee3292f46ede6ea1dfabfcb200fcf47,19.700356
50dca53ca33b739bef09e7933e8b380e,17.592484
8087ec71e393d4dc6fc48041fe63cd51,17.393513
e6b6557ce111de79b31cc857f20ba212,22.731176
0b09c5e4c2512f627190ac55a78c35a3,53.25218
411282320ee1ea91c2fc8351aee73b05,16.307444
689d9b46b0376ea4ebaeac46ebd6fc18,17.155848
603691890e2bc99b1ae66b9e7ecbe3d4,27.50755
06fef28288938378d269904800db589f,15.875445
a6f6b75dad02327bd16a4d391963c579,31.079178
e67dfbc421e0d2908ef7e2c96d222f42,21.344246
eaa3f732b5a4f293f5063246bd5dd67e,15.324211
36b8ca63eb9822b5f68630749ff70e32,23.490936
9506bf16f764e91707db1ffebc90b494,15.944909
d071b7bd406df53883553c4eceb94936,18.038507
a74e83bef10070f30831ad61d579a408,16.540438
3b61275de41f60d8e48bef3f42ac8bed,11.443175
6337a3d6f20dcb1f58b07244dc92b759,13.898173
c528ee5dbc3b0873c3eb1a25c860fd97,33.314102
57db58fa887c4205f3bf01211de5cceb,13.129059
7d4bbd720f893f2ce3f6e19f95c4249a,15.844181
6ca45b5a3976343d5ac388f06ab70f09,24.285067
fffcd46ef2263f404302a634eb57f7eb,26.5674
f3513eec8f1434b5b7e04ddf3598df40,17.639124
f96682f8b83bc89372ebcb2164502266,13.35728
1630676be03651738ab38bdd77ce6e67,13.931164
d21711f4bfc26162d5a8e471d7edb25f,14.464762
e8bbe1e50121557f66b60660a6b62289,42.909924
24040b0114230e6113ea96d0161ff4a9,17.323574
9d0815da498bdbe17d13752e2d3c991f,22.603403
5d1466f38183f13f22491a21c09982a1,15.0721035
efe5d91d523dcb8acc12b56d74523979,21.018415
32fef9bb0f0402350b640eb6f13dbe09,25.303854
ae6fa796d6bfcc527feea40286702f7e,17.64857
4c0b7cef000c9351cd7f160ad283a0f8,25.833223
934838488a3fc133b3cb9b1f716c5937,19.236423
dc2ed1581975f94efea014272ace65a8,15.159562
98b3b28db55c9f6e365c56f05004d3b5,18.836546
6a7ac200511e303dca7161f95949dee8,15.357962
e8f5f9fb65db20f08e707adec28407c9,13.8485775
cf650037c918409bca8e5e67ee7dcfbe,17.176249
7a7ce47ebeac8469117cd0b044c03d1b,16.483341
a5102272df11ecf366a4e9d4257b672a,13.796631
de12067bfa331f0c8cd1df23a0106128,33.05199
a250092009e031f3162f9134a40261c2,18.54829
fe77e2fdbb1b332cfbabd01709f805e8,14.146267
484bc55c468ac3e8d5ca1ab45b24ff99,13.17753
a653bb2e2418fd13d746e3639879aa83,22.48757
5ce97d89fd3ee848e6c60736d3e32a3b,16.216406
2a1ceca1522e8bf484583ef111e921c4,18.664179
9ec8075dfc41a4b32e00cdac5dcca698,26.768515
db6bbd5bd39d674b8778df50982d00de,17.050957
1dcf0c8cd36ffaf57784fbdc90079310,16.28744
ecb7b1b5d15cf872f986f88e7344d9ed,12.958378
10a00d04ca3504e6a7804ccc87050e81,14.587282
21ac7b9aaf4cb4e41aa7ed2722a0c2ab,17.586452
eee39147362c420a076b96cfe10c8154,15.871957
15894c1e0d37429ae01e88705a0e7941,19.849993
64eb693e04aa8e46522872834d4dbe03,20.427074
7d92cb6758010db52a51e6e283edcd6f,18.232258
23b89f00eb70f9f93ebe743fd79bd787,14.186551
337d06bdab986563a27e4f5c1885e887,12.408058
67e54a5ddb5e864b3ca5442f999b55ed,11.868557
9aba5a261ecd7b4c4d324ee1ab55cae7,17.049185
299e8d399d78b7abc915b3d059a6c712,20.01828
4fe8bf212087b2b27d2d5ca8bc866a74,18.685095
d6d5256fd785237c4ace6b84392b2e28,15.388125
201411b269cdeb9193946f3f26e2c0db,12.308872
